"area_id","topico_id","topico","subtopico_id","subtopico","caminho","validacao"
"D02","D02-T03","Privacidade e contratos","D02-T03-S02","Termos e propriedade intelectual","01_areas/D02__juridico-riscos-e-conformidade/03__privacidade-e-contratos/02__termos-e-propriedade-intelectual","Proposto"
"D03","D03-T01","Planejamento financeiro","D03-T01-S01","Orçamento e investimentos","01_areas/D03__financas/01__planejamento-financeiro/01__orcamento-e-investimentos","Proposto"
"D03","D03-T01","Planejamento financeiro","D03-T01-S02","Cenários e premissas","01_areas/D03__financas/01__planejamento-financeiro/02__cenarios-e-premissas","Proposto"
"D03","D03-T02","Gestão de caixa","D03-T02-S01","Entradas e saídas","01_areas/D03__financas/02__gestao-de-caixa/01__entradas-e-saidas","Proposto"
"D03","D03-T02","Gestão de caixa","D03-T02-S02","Compromissos e reservas","01_areas/D03__financas/02__gestao-de-caixa/02__compromissos-e-reservas","Proposto"
"D03","D03-T03","Resultados e viabilidade","D03-T03-S01","Custos e margens","01_areas/D03__financas/03__resultados-e-viabilidade/01__custos-e-margens","Proposto"
"D03","D03-T03","Resultados e viabilidade","D03-T03-S02","Receitas e sustentabilidade","01_areas/D03__financas/03__resultados-e-viabilidade/02__receitas-e-sustentabilidade","Proposto"
"D04","D04-T01","Papéis e organização","D04-T01-S01","Responsabilidades","01_areas/D04__pessoas-e-recursos-humanos/01__papeis-e-organizacao/01__responsabilidades","Proposto"
"D04","D04-T01","Papéis e organização","D04-T01-S02","Alocação de funções","01_areas/D04__pessoas-e-recursos-humanos/01__papeis-e-organizacao/02__alocacao-de-funcoes","Proposto"
"D04","D04-T02","Capacidade de trabalho","D04-T02-S01","Disponibilidade","01_areas/D04__pessoas-e-recursos-humanos/02__capacidade-de-trabalho/01__disponibilidade","Proposto"
"D04","D04-T02","Capacidade de trabalho","D04-T02-S02","Carga e limites","01_areas/D04__pessoas-e-recursos-humanos/02__capacidade-de-trabalho/02__carga-e-limites","Proposto"
"D04","D04-T03","Competências e desenvolvimento","D04-T03-S01","Mapa de competências","01_areas/D04__pessoas-e-recursos-humanos/03__competencias-e-desenvolvimento/01__mapa-de-competencias","Proposto"
"D04","D04-T03","Competências e desenvolvimento","D04-T03-S02","Formação e integração","01_areas/D04__pessoas-e-recursos-humanos/03__competencias-e-desenvolvimento/02__formacao-e-integracao","Proposto"
"D05","D05-T01","Arquitetura de dados","D05-T01-S01","Fontes e coleta","01_areas/D05__dados/01__arquitetura-de-dados/01__fontes-e-coleta","Proposto"
"D05","D05-T01","Arquitetura de dados","D05-T01-S02","Armazenamento e linhagem","01_areas/D05__dados/01__arquitetura-de-dados/02__armazenamento-e-linhagem","Proposto"
"D05","D05-T02","Governança de dados","D05-T02-S01","Qualidade","01_areas/D05__dados/02__governanca-de-dados/01__qualidade","Proposto"
"D05","D05-T02","Governança de dados","D05-T02-S02","Acesso e retenção","01_areas/D05__dados/02__governanca-de-dados/02__acesso-e-retencao","Proposto"
"D05","D05-T03","Métricas e análise","D05-T03-S01","Eventos e propriedades","01_areas/D05__dados/03__metricas-e-analise/01__eventos-e-propriedades","Proposto"
"D05","D05-T03","Métricas e análise","D05-T03-S02","Indicadores e fórmulas","01_areas/D05__dados/03__metricas-e-analise/02__indicadores-e-formulas","Proposto"
"D06","D06-T01","Organização do conhecimento","D06-T01-S01","Taxonomia e glossário","01_areas/D06__conhecimento-e-busca-corporativa/01__organizacao-do-conhecimento/01__taxonomia-e-glossario","Proposto"
"D06","D06-T01","Organização do conhecimento","D06-T01-S02","Identidades e versões","01_areas/D06__conhecimento-e-busca-corporativa/01__organizacao-do-conhecimento/02__identidades-e-versoes","Proposto"
"D06","D06-T02","Fontes e acervo","D06-T02-S01","Catalogação","01_areas/D06__conhecimento-e-busca-corporativa/02__fontes-e-acervo/01__catalogacao","Proposto"
"D06","D06-T02","Fontes e acervo","D06-T02-S02","Proveniência e validade","01_areas/D06__conhecimento-e-busca-corporativa/02__fontes-e-acervo/02__proveniencia-e-validade","Proposto"
"D06","D06-T03","Busca e reutilização","D06-T03-S01","Recuperação","01_areas/D06__conhecimento-e-busca-corporativa/03__busca-e-reutilizacao/01__recuperacao","Proposto"
"D06","D06-T03","Busca e reutilização","D06-T03-S02","Síntese e referências","01_areas/D06__conhecimento-e-busca-corporativa/03__busca-e-reutilizacao/02__sintese-e-referencias","Proposto"
"D07","D07-T01","Portfólio e prioridades","D07-T01-S01","Escopo e entregas","01_areas/D07__produtividade-e-execucao/01__portfolio-e-prioridades/01__escopo-e-entregas","Proposto"
"D07","D07-T01","Portfólio e prioridades","D07-T01-S02","Priorização","01_areas/D07__produtividade-e-execucao/01__portfolio-e-prioridades/02__priorizacao","Proposto"
"D07","D07-T02","Planejamento de execução","D07-T02-S01","Marcos e dependências","01_areas/D07__produtividade-e-execucao/02__planejamento-de-execucao/01__marcos-e-dependencias","Proposto"
"D07","D07-T02","Planejamento de execução","D07-T02-S02","Cronograma e capacidade","01_areas/D07__produtividade-e-execucao/02__planejamento-de-execucao/02__cronograma-e-capacidade","Proposto"
"D07","D07-T03","Controle de execução","D07-T03-S01","Tarefas e estados","01_areas/D07__produtividade-e-execucao/03__controle-de-execucao/01__tarefas-e-estados","Proposto"
"D07","D07-T03","Controle de execução","D07-T03-S02","Critérios de pronto e evidências","01_areas/D07__produtividade-e-execucao/03__controle-de-execucao/02__criterios-de-pronto-e-evidencias","Proposto"
"D08","D08-T01","Processos e serviços","D08-T01-S01","Catálogo de processos","01_areas/D08__operacoes/01__processos-e-servicos/01__catalogo-de-processos","Proposto"
"D08","D08-T01","Processos e serviços","D08-T01-S02","Procedimentos","01_areas/D08__operacoes/01__processos-e-servicos/02__procedimentos","Proposto"
"D08","D08-T02","Rotina operacional","D08-T02-S01","Entrada e execução","01_areas/D08__operacoes/02__rotina-operacional/01__entrada-e-execucao","Proposto"
"D08","D08-T02","Rotina operacional","D08-T02-S02","Revisão e publicação","01_areas/D08__operacoes/02__rotina-operacional/02__revisao-e-publicacao","Proposto"
"D08","D08-T03","Continuidade","D08-T03-S01","Incidentes e escalonamento","01_areas/D08__operacoes/03__continuidade/01__incidentes-e-escalonamento","Proposto"
"D08","D08-T03","Continuidade","D08-T03-S02","Recuperação","01_areas/D08__operacoes/03__continuidade/02__recuperacao","Proposto"
"D09","D09-T01","Agenda de pesquisa","D09-T01-S01","Perguntas","01_areas/D09__pesquisa-e-inovacao/01__agenda-de-pesquisa/01__perguntas","Proposto"
"D09","D09-T01","Agenda de pesquisa","D09-T01-S02","Hipóteses","01_areas/D09__pesquisa-e-inovacao/01__agenda-de-pesquisa/02__hipoteses","Proposto"
"D09","D09-T02","Pesquisa e evidências","D09-T02-S01","Fontes e afirmações","01_areas/D09__pesquisa-e-inovacao/02__pesquisa-e-evidencias/01__fontes-e-afirmacoes","Proposto"
"D09","D09-T02","Pesquisa e evidências","D09-T02-S02","Limitações e qualidade","01_areas/D09__pesquisa-e-inovacao/02__pesquisa-e-evidencias/02__limitacoes-e-qualidade","Proposto"
"D09","D09-T03","Experimentação","D09-T03-S01","Protocolos e critérios","01_areas/D09__pesquisa-e-inovacao/03__experimentacao/01__protocolos-e-criterios","Proposto"
"D09","D09-T03","Experimentação","D09-T03-S02","Resultados e aprendizados","01_areas/D09__pesquisa-e-inovacao/03__experimentacao/02__resultados-e-aprendizados","Proposto"
"D10","D10-T01","Descoberta de produto","D10-T01-S01","Problemas e públicos","01_areas/D10__gestao-de-produto/01__descoberta-de-produto/01__problemas-e-publicos","Proposto"
"D10","D10-T01","Descoberta de produto","D10-T01-S02","Resultados esperados","01_areas/D10__gestao-de-produto/01__descoberta-de-produto/02__resultados-esperados","Proposto"
"D10","D10-T02","Requisitos e escopo","D10-T02-S01","Funcionais e não funcionais","01_areas/D10__gestao-de-produto/02__requisitos-e-escopo/01__funcionais-e-nao-funcionais","Proposto"
"D10","D10-T02","Requisitos e escopo","D10-T02-S02","Aceite e priorização","01_areas/D10__gestao-de-produto/02__requisitos-e-escopo/02__aceite-e-priorizacao","Proposto"
"D10","D10-T03","Portfólio de produtos","D10-T03-S01","Blog Vera e Mapa Scanner","01_areas/D10__gestao-de-produto/03__portfolio-de-produtos/01__blog-vera-e-mapa-scanner","Proposto"
"D10","D10-T03","Portfólio de produtos","D10-T03-S02","Executar loja e serviços","01_areas/D10__gestao-de-produto/03__portfolio-de-produtos/02__executar-loja-e-servicos","Proposto"
"D11","D11-T01","Pesquisa de experiência","D11-T01-S01","Necessidades de usuários","01_areas/D11__experiencia-e-projeto/01__pesquisa-de-experiencia/01__necessidades-de-usuarios","Proposto"
"D11","D11-T01","Pesquisa de experiência","D11-T01-S02","Jornadas","01_areas/D11__experiencia-e-projeto/01__pesquisa-de-experiencia/02__jornadas","Proposto"
"D11","D11-T02","Fluxos e protótipos","D11-T02-S01","Navegação e interação","01_areas/D11__experiencia-e-projeto/02__fluxos-e-prototipos/01__navegacao-e-interacao","Proposto"
"D11","D11-T02","Fluxos e protótipos","D11-T02-S02","Validação de usabilidade","01_areas/D11__experiencia-e-projeto/02__fluxos-e-prototipos/02__validacao-de-usabilidade","Proposto"
"D11","D11-T03","Sistema de design","D11-T03-S01","Tokens e componentes","01_areas/D11__experiencia-e-projeto/03__sistema-de-design/01__tokens-e-componentes","Proposto"
"D11","D11-T03","Sistema de design","D11-T03-S02","Responsividade e acessibilidade","01_areas/D11__experiencia-e-projeto/03__sistema-de-design/02__responsividade-e-acessibilidade","Proposto"
"D12","D12-T01","Arquitetura e integrações","D12-T01-S01","Componentes e contratos","01_areas/D12__engenharia/01__arquitetura-e-integracoes/01__componentes-e-contratos","Proposto"
"D12","D12-T01","Arquitetura e integrações","D12-T01-S02","Decisões técnicas","01_areas/D12__engenharia/01__arquitetura-e-integracoes/02__decisoes-tecnicas","Proposto"
"D12","D12-T02","Construção e qualidade","D12-T02-S01","Código e revisão","01_areas/D12__engenharia/02__construcao-e-qualidade/01__codigo-e-revisao","Proposto"
"D12","D12-T02","Construção e qualidade","D12-T02-S02","Testes e segurança","01_areas/D12__engenharia/02__construcao-e-qualidade/02__testes-e-seguranca","Proposto"
"D12","D12-T03","Infraestrutura e implantação","D12-T03-S01","Ambientes e observabilidade","01_areas/D12__engenharia/03__infraestrutura-e-implantacao/01__ambientes-e-observabilidade","Proposto"
"D12","D12-T03","Infraestrutura e implantação","D12-T03-S02","Backup e rollback","01_areas/D12__engenharia/03__infraestrutura-e-implantacao/02__backup-e-rollback","Proposto"
"D13","D13-T01","Inteligência de mercado","D13-T01-S01","Segmentos e ICP","01_areas/D13__mercado-e-geracao-de-demanda/01__inteligencia-de-mercado/01__segmentos-e-icp","Proposto"
"D13","D13-T01","Inteligência de mercado","D13-T01-S02","Pesquisa competitiva","01_areas/D13__mercado-e-geracao-de-demanda/01__inteligencia-de-mercado/02__pesquisa-competitiva","Proposto"
"D13","D13-T02","Posicionamento e demanda","D13-T02-S01","Mensagem e proposta de valor","01_areas/D13__mercado-e-geracao-de-demanda/02__posicionamento-e-demanda/01__mensagem-e-proposta-de-valor","Proposto"
"D13","D13-T02","Posicionamento e demanda","D13-T02-S02","Canais e campanhas","01_areas/D13__mercado-e-geracao-de-demanda/02__posicionamento-e-demanda/02__canais-e-campanhas","Proposto"
"D13","D13-T03","Entrada no mercado","D13-T03-S01","Funil e piloto","01_areas/D13__mercado-e-geracao-de-demanda/03__entrada-no-mercado/01__funil-e-piloto","Proposto"
"D13","D13-T03","Entrada no mercado","D13-T03-S02","Lançamento e crescimento","01_areas/D13__mercado-e-geracao-de-demanda/03__entrada-no-mercado/02__lancamento-e-crescimento","Proposto"
"D14","D14-T01","Ofertas e preços","D14-T01-S01","Pacotes e condições","01_areas/D14__vendas/01__ofertas-e-precos/01__pacotes-e-condicoes","Proposto"
"D14","D14-T01","Ofertas e preços","D14-T01-S02","Precificação","01_areas/D14__vendas/01__ofertas-e-precos/02__precificacao","Proposto"
"D14","D14-T02","Funil comercial","D14-T02-S01","Leads e qualificação","01_areas/D14__vendas/02__funil-comercial/01__leads-e-qualificacao","Proposto"
"D14","D14-T02","Funil comercial","D14-T02-S02","Propostas e conversão","01_areas/D14__vendas/02__funil-comercial/02__propostas-e-conversao","Proposto"
"D14","D14-T03","Gestão comercial","D14-T03-S01","Receita e carteira","01_areas/D14__vendas/03__gestao-comercial/01__receita-e-carteira","Proposto"
"D14","D14-T03","Gestão comercial","D14-T03-S02","Previsão e acompanhamento","01_areas/D14__vendas/03__gestao-comercial/02__previsao-e-acompanhamento","Proposto"
"D15","D15-T01","Atendimento e suporte","D15-T01-S01","Canais e triagem","01_areas/D15__atendimento-e-sucesso-do-cliente/01__atendimento-e-suporte/01__canais-e-triagem","Proposto"
"D15","D15-T01","Atendimento e suporte","D15-T01-S02","Níveis de serviço e escalonamento","01_areas/D15__atendimento-e-sucesso-do-cliente/01__atendimento-e-suporte/02__niveis-de-servico-e-escalonamento","Proposto"
"D15","D15-T02","Sucesso do cliente","D15-T02-S01","Onboarding e adoção","01_areas/D15__atendimento-e-sucesso-do-cliente/02__sucesso-do-cliente/01__onboarding-e-adocao","Proposto"
"D15","D15-T02","Sucesso do cliente","D15-T02-S02","Satisfação e retenção","01_areas/D15__atendimento-e-sucesso-do-cliente/02__sucesso-do-cliente/02__satisfacao-e-retencao","Proposto"
"D15","D15-T03","Voz do cliente","D15-T03-S01","Feedback e base de respostas","01_areas/D15__atendimento-e-sucesso-do-cliente/03__voz-do-cliente/01__feedback-e-base-de-respostas","Proposto"
"D15","D15-T03","Voz do cliente","D15-T03-S02","Melhoria contínua","01_areas/D15__atendimento-e-sucesso-do-cliente/03__voz-do-cliente/02__melhoria-continua","Proposto"
"D16","D16-T01","Estratégia editorial","D16-T01-S01","Pilares e pautas","01_areas/D16__midias-sociais-e-distribuicao-digital/01__estrategia-editorial/01__pilares-e-pautas","Proposto"
"D16","D16-T01","Estratégia editorial","D16-T01-S02","Conteúdo fonte e evidências","01_areas/D16__midias-sociais-e-distribuicao-digital/01__estrategia-editorial/02__conteudo-fonte-e-evidencias","Proposto"
"D16","D16-T02","Produção e distribuição","D16-T02-S01","Derivados e formatos","01_areas/D16__midias-sociais-e-distribuicao-digital/02__producao-e-distribuicao/01__derivados-e-formatos","Proposto"
"D16","D16-T02","Produção e distribuição","D16-T02-S02","Calendário e canais","01_areas/D16__midias-sociais-e-distribuicao-digital/02__producao-e-distribuicao/02__calendario-e-canais","Proposto"
"D16","D16-T03","Comunidade e desempenho","D16-T03-S01","Relacionamento e moderação","01_areas/D16__midias-sociais-e-distribuicao-digital/03__comunidade-e-desempenho/01__relacionamento-e-moderacao","Proposto"
"D16","D16-T03","Comunidade e desempenho","D16-T03-S02","Métricas e aprendizados","01_areas/D16__midias-sociais-e-distribuicao-digital/03__comunidade-e-desempenho/02__metricas-e-aprendizados","Proposto"
