classification_id,source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_mode,source_size,artifact_type,epistemic_class,candidate_domain,candidate_canonical_id,candidate_target,canonical_status,migration_action,conflict_status,validation_status,distribution_status,intake_path,rationale
"MC-REC-022","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","89540f34ac8c50048040b3ebb9b96b34217c53f4","100644","1319348","estado_consolidado","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/consolidated-state/","PROPOSED","REFERENCE","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","Estado consolidado de escopo transversal; conteúdo precisa de reconciliação por domínio."
"MC-REC-023","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/README.md","1df7e4bb1709ddd80d836a0c4c77f42762f3d645","100644","3020","documentacao_workbook","CORPUS_DIRECT","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/README.md","Documenta a entrega de workbook e a integridade da base."
"MC-REC-024","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","0e9ba9c37fe96b9842f33c4383eb98bd0734f8e1","100644","1202658","workbook_export","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/workbooks/","PROPOSED","REFERENCE","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","Export consolidado; requer leitura por estrutura antes de qualquer rota canônica."
"MC-REC-025","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","b5f2795e6585efaa65e43d1f94c7ec137147abce","100644","1054794","workbook_export","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/workbooks/","PROPOSED","REFERENCE","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","Export consolidado; requer leitura por estrutura antes de qualquer rota canônica."
"MC-REC-026","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/WORKBOOK_FORMULARIO.csv","c211a49d9ba5c337eb5d56833c1cedc666fda4ad","100644","84504","registro_formulario_multidominio","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/workbooks/","PROPOSED","REFERENCE","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_FORMULARIO.csv","Campos cobrem negócio, produto e engenharia; classificar por linha em etapa posterior."
"MC-REC-027","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx","7a974a5308edc3ef82495927524e40481872fd21","100644","316475","workbook_binario","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/workbooks/","PROPOSED","REFERENCE","BINARY_REVIEW_REQUIRED","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx","Binário preservado com SHA validado; inspeção semântica ainda pendente."
"MC-REC-028","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv","eee8e07f5b05eca4ceb01474e49dff6f5c57efe0","100644","372557","registro_evidencias","CORPUS_DIRECT","D09","D09-DOC-DEB-001","04_evidence/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv","Registro de evidências e força/confiança; candidato ao dossiê de evidências."
"MC-REC-029","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv","01d274ff31acf221433a44b24cdbb457bbecbd1f","100644","5552","registro_hipoteses","CORPUS_DIRECT","D09","D09-DOC-DEB-001","04_evidence/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv","Hipóteses vinculadas a evidências e testes; requer preservação de status epistêmico."
"MC-REC-030","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-56_DECISION_LOG.csv","d75eb2edbf1bbc828139d81d287b447144f3c279","100644","17872","registro_decisoes","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","05_decisions/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-56_DECISION_LOG.csv","Log de decisões; manter histórico e distinção entre decisão tomada e pendência."
"MC-REC-031","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-57_RISK_REGISTER.csv","70b586e01cb629eac64d67bd2a91ca10698d2554","100644","111111","registro_riscos","CORPUS_DIRECT","D02","D02-DOC-MRC-001","06_risks/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-57_RISK_REGISTER.csv","Registro de riscos e controles; candidato à matriz de riscos e controles."
"MC-REC-032","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-58_GAP_REGISTER.csv","0b9d1d9b7b1c2bcc639bf15a0030bc8e94491885","100644","24675","registro_lacunas","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/gaps/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-58_GAP_REGISTER.csv","Registro de lacunas; não preencher nem converter lacunas em requisito."
"MC-REC-033","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv","a463e18c92e30f01137e4c475d3c8718227705bb","100644","26096","registro_fontes","CORPUS_DIRECT","D09","D09-DOC-DEB-001","04_evidence/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv","Registro de fontes, hashes e evidências associadas."
"MC-REC-034","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md","7dd8c4ee2d07dd162fa81398a79f5d104792857a","100644","5227","plano_lancamento","CORPUS_DIRECT","D13","D13-DOC-GTM-001","02_areas/D13__mercado-e-geracao-de-demanda/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md","Plano de lançamento; candidato ao plano de entrada no mercado e lançamento."
"MC-REC-035","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","70-operacao-governanca/02-workflows/PMBOK8_FUNDAMENTOS_ORDEM_MENTAL.md","6b2d84975bbf9fcde0823e8eb345cf50cdaec6da","100644","10872","instrucao_agente_referencia","CORPUS_DIRECT","MAESTRO","GAP","MAESTRO/40-workflows/","PROPOSED","KEEP","MIXED_AGENT_INSTRUCTION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","REQUIRES_MAESTRO_RECONCILIATION","00_input/maestro-migration/01_original/70-operacao-governanca/02-workflows/PMBOK8_FUNDAMENTOS_ORDEM_MENTAL.md","Material conceitual contém instrução explícita para agente; permanece no intake como cópia histórica e requer roteamento ao Maestro."
"MC-REC-036","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","70-operacao-governanca/70-operacao-governanca.md","272677a80a3172093bb581cae81599c392ca2f46","100644","285","mapa_operacoes_governanca","CORPUS_DIRECT","D08","D08-DOC-MOP-001","02_areas/D08__operacoes/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/70-operacao-governanca/70-operacao-governanca.md","Mapa de processos, planos, decisões, riscos e SOPs; candidato ao Manual de Operações."
